midx,mom_tercile,max_tercile,ew_ret,n
23731,2,1,-0.03125228683216112,14
23731,2,2,0.004737102201264276,6
23731,2,3,0.013483299022598382,9
23731,3,1,-0.021619059783589873,12
23731,3,2,-0.023136463646174298,13
23731,3,3,0.001994373354412493,4
23732,1,1,-0.028035248687825587,7
23732,1,2,-0.007408184398067952,6
23732,1,3,-0.011712674661626912,16
23732,2,1,-0.0020795924582700195,11
23732,2,2,0.0025049183316040446,12
23732,2,3,5.46052368336196e-4,6
23732,3,1,-0.005837499818645928,11
23732,3,2,0.022089372589493998,11
23732,3,3,0.006705155795823253,7
23733,1,1,-0.04176494098653989,5
23733,1,2,-0.04876737774390196,10
23733,1,3,-0.07030423371315027,14
23733,2,1,-0.05000391954327095,8
23733,2,2,-0.025977938154773696,14
23733,2,3,-0.038294761623656234,7
23733,3,1,-0.023807723304482317,16
23733,3,2,-0.015005684541083308,5
23733,3,3,-0.05849064540320946,8
23734,1,1,0.029941089943805795,7
23734,1,2,0.02842538449824953,12
23734,1,3,0.03168421959519341,10
23734,2,1,0.05161778228930826,11
23734,2,2,0.051422185382367314,11
23734,2,3,0.06300006967958054,7
23734,3,1,0.026479100652200525,11
23734,3,2,0.05354278507385196,6
23734,3,3,0.0683706885534159,12
23735,1,1,-0.004633880485652642,6
23735,1,2,-0.0037470062872899277,9
23735,1,3,-3.278611790390519e-4,14
23735,2,1,0.020084472651337643,8
23735,2,2,0.010556701061199047,12
23735,2,3,3.6361016813768465e-4,9
23735,3,1,0.003260797919211491,15
23735,3,2,0.0031838658267050873,8
23735,3,3,0.022434053174455203,6
23736,1,1,-0.054410254973477054,7
23736,1,2,-0.05686777030305416,10
23736,1,3,-0.056780638037858946,12
23736,2,1,-0.04107975460345329,10
23736,2,2,-0.06249076760608163,11
23736,2,3,-0.06663004911536524,8
23736,3,1,-0.03885776784110091,12
23736,3,2,-0.057496049654300496,8
23736,3,3,-0.058028304656797966,9
23737,1,1,-0.009966674754437615,6
23737,1,2,-0.03462814141663275,10
23737,1,3,-0.021143683127401766,13
23737,2,1,-0.02334309973602884,11
23737,2,2,-0.014532343260047606,12
23737,2,3,-0.018802175805846772,6
23737,3,1,-0.014167248023496514,12
23737,3,2,0.04029692755027141,7
23737,3,3,0.017939997935355178,10
23738,1,1,0.024208322559997116,5
23738,1,2,0.040649485120129086,12
23738,1,3,0.059775371316774725,13
23738,2,1,0.005346269682335758,16
23738,2,2,0.03779629256779059,9
23738,2,3,0.03142658192217129,4
23738,3,1,0.020532863283122663,9
